InvoiceNo,CustomerID,CustomerName,ProductID,ProductName, UnitPrice ,Quantity,InvoiceDate
INV_668950,CUST_1206,Stacey Arias,PROD_7cb7c01e,Achilles Cream/Gray Rug, $121.88 ,2,6/1/2025
INV_945687,CUST_1362,Melissa Brewer,PROD_81ed29d6,Soft Washable Vintage Distressed Beige Area Rug with Non-Slip Backing, $136.26 ,1,6/1/2025
INV_320392,CUST_1207,Zachary Brooks,PROD_16a4bedb,Aitken Machine Woven Geometric Indoor and Outdoor Rug, $69.60 ,2,6/1/2025
INV_969659,CUST_1231,Michele Lewis,PROD_f03852cf,Lahjar Speckled Wool Blend Area Rug, $536.25 ,1,6/1/2025
INV_352249,CUST_1149,David Medina,PROD_81ed29d6,Soft Washable Vintage Distressed Beige Area Rug with Non-Slip Backing, $137.55 ,5,6/1/2025
INV_960622,CUST_1495,Curtis Watson,PROD_a39a8d2b,Rinoa Indoor / Outdoor Rug, $207.12 ,1,6/1/2025
INV_911329,CUST_1086,Madison Poole,PROD_1ad08862,Scalloped Washable Rug Area Rugs for Living Room Modern Rugs Abstract Non-Slip, $72.93 ,1,6/1/2025
INV_612340,CUST_1472,Samuel Suarez,PROD_7ef65a00,Jules Checkered Area Rug, $136.33 ,1,6/1/2025
INV_548580,CUST_1225,Heather Bolton,PROD_20bbb110,Ainswick Memory Foam Large Rug, $598.02 ,1,6/1/2025
INV_696474,CUST_1135,Brooke Alexander,PROD_885c587d,"Paseo Gurseerit All-Weather Flatweave Indoor/Outdoor Area Rug, Brown Black", $94.18 ,2,6/2/2025
INV_412856,CUST_1372,Kenneth Farley,PROD_89c6f605,Washable Oriental  Area Rugs Non slip Green Rugs, $20.50 ,1,6/2/2025
INV_251716,CUST_1461,Beth Henderson,PROD_86d6a4e7,"Eldonmore 7'8"" X 10' Area Rug", $684.40 ,1,6/2/2025
INV_112884,CUST_1379,Pamela Williams,PROD_7cb7c01e,Achilles Cream/Gray Rug, $114.52 ,1,6/2/2025
INV_150931,CUST_1493,Abigail Hill,PROD_1ad08862,Scalloped Washable Rug Area Rugs for Living Room Modern Rugs Abstract Non-Slip, $76.22 ,1,6/3/2025
INV_844163,CUST_1299,Donna Cabrera,PROD_049d2289,Valis Faux Sheepskin Indoor Rug, $102.23 ,1,6/3/2025
INV_495727,CUST_1026,Timothy Duncan,PROD_86d6a4e7,"Eldonmore 7'8"" X 10' Area Rug", $668.40 ,2,6/3/2025
INV_698514,CUST_1108,Tammy Gonzales,PROD_3a8f5324,"Lisgrove 7'8"" X 10' Area Rug", $661.71 ,1,6/3/2025
INV_939398,CUST_1355,Charlotte Sandoval,PROD_289ed9b0,Ankita Bordered Jute Area Rug, $327.77 ,1,6/3/2025
INV_805383,CUST_1311,Ryan Rocha,PROD_cb6ebe0a,Harjot Medium Rug, $166.41 ,1,6/3/2025
INV_265613,CUST_1348,Matthew Williams,PROD_9d77c7b9,Rifle Paper Co. x Loloi Rosa Sky Area Rug, $115.80 ,1,6/3/2025
INV_748386,CUST_1060,Richard Lawson,PROD_aaf8a92a,Izola Oriental Indoor/Outdoor Area Rug, $187.61 ,1,6/4/2025
INV_567383,CUST_1141,Richard Johnson,PROD_819dccdf,Paint Chip Blue Machine Washable Rug, $36.93 ,1,6/4/2025
INV_449472,CUST_1281,Paul Finley,PROD_b59a3efe,Machine Washable Area Rugs for Entryway 2x3 Non-Slip Soft Throw Rugs Blue/Gray, $19.22 ,1,6/4/2025
INV_321494,CUST_1306,Michael Morrison,PROD_a39a8d2b,Rinoa Indoor / Outdoor Rug, $196.99 ,1,6/4/2025
INV_223552,CUST_1002,Cristian Santos,PROD_7781fd4a,Oriental Indoor Rug, $228.76 ,1,6/4/2025
INV_927543,CUST_1031,Tammy Allison,PROD_68bfe17c,Adrihana Machine Woven Abstract Area Rug, $229.73 ,1,6/4/2025
INV_836720,CUST_1315,Kelly Combs,PROD_819dccdf,Paint Chip Blue Machine Washable Rug, $35.95 ,1,6/4/2025
INV_512064,CUST_1226,Heidi Owen,PROD_94b9189a,Enciso Machine Woven Stain Resistant Indoor/Outdoor Area Rug, $67.65 ,2,6/5/2025
INV_795578,CUST_1455,Martin Hughes,PROD_f03852cf,Lahjar Speckled Wool Blend Area Rug, $538.29 ,1,6/5/2025
INV_936726,CUST_1244,Kathleen Burton,PROD_b7d8e041,Jodhveer Area Rug Washable Rug Non-Slip Backing Indoor Rugs, $40.03 ,1,6/5/2025
INV_653429,CUST_1465,Sharon Beard,PROD_f6c97a80,Livdon Washable Medium Rug, $163.16 ,1,6/5/2025
INV_587853,CUST_1130,Yolanda Francis,PROD_179506f6,Warkentin Geometric Indoor Rug, $135.18 ,1,6/5/2025
INV_709303,CUST_1404,Cassidy Horne,PROD_07dd57f8,Nola Geometric Indoor / Outdoor Rug, $106.77 ,1,6/5/2025
INV_732063,CUST_1448,Fernando Lynn,PROD_f03852cf,Lahjar Speckled Wool Blend Area Rug, $509.51 ,5,6/5/2025
INV_488477,CUST_1429,Rachael Howard DDS,PROD_3b59c0ac,Seraphine Coastal Flatweave Navy Indoor /  Outdoor Area Rug, $70.25 ,1,6/5/2025
INV_823535,CUST_1326,Amanda Mcfarland,PROD_885c587d,"Paseo Gurseerit All-Weather Flatweave Indoor/Outdoor Area Rug, Brown Black", $93.28 ,1,6/6/2025
INV_642479,CUST_1226,Heidi Owen,PROD_28b95f59,Mendota Geometric Tan Indoor/Outdoor Area Rug, $143.04 ,1,6/6/2025
INV_530819,CUST_1188,Jesse Brown,PROD_7ef65a00,Jules Checkered Area Rug, $130.56 ,1,6/6/2025
INV_650779,CUST_1004,Gabrielle Davis,PROD_fd0cd8cf,Non-Slip Washable Stain Resistant Area Rug For Living Room Bedroom Dining Room, $97.12 ,1,6/7/2025
INV_395087,CUST_1421,Krista Davis,PROD_28b95f59,Mendota Geometric Tan Indoor/Outdoor Area Rug, $134.91 ,5,6/7/2025
INV_526369,CUST_1042,Shawn Baker,PROD_16a4bedb,Aitken Machine Woven Geometric Indoor and Outdoor Rug, $72.36 ,2,6/7/2025
INV_215795,CUST_1120,Thomas Romero,PROD_163bd914,Disney Mickey Mouse Tropical Sand Dollar Havana Brown/ Sand Flatweave Indoor/, $212.42 ,1,6/7/2025
INV_810859,CUST_1335,Linda Mueller,PROD_b59a3efe,Machine Washable Area Rugs for Entryway 2x3 Non-Slip Soft Throw Rugs Blue/Gray, $20.40 ,5,6/7/2025
